# sleekmenu-coverdb 3
crc,serial,name,genre,publisher,year,players,regions
3B941695F90A5EEB,N07P,"007 - The World Is Not Enough (Europe) (En,Fr,De)",Action,Electronic Arts,2000,4,EUROPE
033F4C13319EE7A7,N07E,007 - The World Is Not Enough (USA),Action,Electronic Arts,2000,4,USA
7BD65F9E76B6A083,N07E,007 - The World Is Not Enough (USA) (v2) (Beta),Action,Electronic Arts,2000,4,USA
A92E0966341C3912,N07E,007 - The World Is Not Enough (USA) (v21) (Beta),Action,Electronic Arts,2000,4,USA
58FD3F25D92EAA8D,NTEP,"1080 Snowboarding (Europe) (En,Ja,Fr,De)",Sports,Nintendo,1998,2,EUROPE
1FBAF1612C1C54F1,,"1080 Snowboarding (Japan, USA) (En,Ja)",Sports,Nintendo,,2,USA|JAPAN
ABA51D09C668BAD9,,"40 Winks (Europe) (En,Es,It) (Proto) (1999-10-07)",Platform,Piko Interactive,1999,2,EUROPE
5EF4464244D05A25,,40 Winks (USA) (Aftermarket) (Unl),Platform,Piko Interactive,1999,2,USA
AA94493C3736CC22,,40 Winks (USA) (Proto) (2000-01-10),Platform,Piko Interactive,1999,2,USA
B98BA4565B2B76AF,NTWJ,64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan),Simulation,Bandai,1997,4,JAPAN
36F22FBF318912F2,NHFJ,64 Hanafuda - Tenshi no Yakusoku (Japan),Board,Altron,1999,2,JAPAN
9C961069F5EA488D,NOSJ,64 Oozumou (Japan),Sports,Bottom Up Interactive,1997,2,JAPAN
85C18B16DF9622AF,NO2J,64 Oozumou 2 (Japan),Sports,Bottom Up Interactive,1999,2,JAPAN
7A6081FCFF8F7A78,NTCJ,64 Trump Collection - Alice no Wakuwaku Trump World (Japan),Gambling,Bottom Up Interactive,1998,4,JAPAN
62F6BE95F102D6D6,NSAP,"AeroFighters Assault (Europe) (En,Fr,De)",Shooter,Video System,1998,2,EUROPE
1B598BF1ECA29B45,NERE,AeroFighters Assault (USA),Shooter,Video System,1997,2,USA
D83045C8F29D3A36,NAGP,"AeroGauge (Europe) (En,Fr,De)",Racing,ASCII Corporation,1998,2,EUROPE
B00903C93916C146,,AeroGauge (Japan) (Demo) (Kiosk),Racing,ASCII Corporation,1997,2,JAPAN
80F41131384645F6,NAGJ,AeroGauge (Japan) (Rev 1),Racing,ASCII Corporation,1997,2,JAPAN
AEBE463ECC71464B,NAGE,AeroGauge (USA),Racing,ASCII Corporation,1998,2,USA
8CC182A6C2D0CAB0,NS3J,AI Shougi 3 (Japan),Board,ASCII Corporation,1998,2,JAPAN
2DC4FFCCC8FF5A21,NAYP,Aidyn Chronicles - The First Mage (Europe),Role-playing (RPG),THQ,2001,1,EUROPE
D0E29F11E029063F,NAYP,Aidyn Chronicles - The First Mage (Europe) (Beta) (2001-03-02),Role-playing (RPG),THQ,,1,EUROPE
